date,steps,week,month,day,m_name,year,label
2017-07-23,673,2017-07-23,2017-07-01,1,7,1,
2017-07-24,884,2017-07-23,2017-07-01,2,7,1,
2017-07-25,1718,2017-07-23,2017-07-01,3,7,1,
2017-07-26,1043,2017-07-23,2017-07-01,4,7,1,
2017-07-27,3366,2017-07-23,2017-07-01,5,7,1,
2017-07-28,808,2017-07-23,2017-07-01,6,7,1,
2017-07-29,1292,2017-07-23,2017-07-01,7,7,1,
2017-07-30,1998,2017-07-30,2017-07-01,1,7,1,
2017-07-31,1424,2017-07-30,2017-07-01,2,7,1,
2017-08-01,1826,2017-07-30,2017-08-01,3,8,2,
2017-08-02,2445,2017-07-30,2017-08-01,4,8,2,
2017-08-03,2561,2017-07-30,2017-08-01,5,8,2,
2017-08-04,983,2017-07-30,2017-08-01,6,8,2,
2017-08-05,466,2017-07-30,2017-08-01,7,8,2,
2017-08-06,276,2017-08-06,2017-08-01,1,8,2,
2017-08-07,1356,2017-08-06,2017-08-01,2,8,2,
2017-08-08,1237,2017-08-06,2017-08-01,3,8,2,
2017-08-09,2459,2017-08-06,2017-08-01,4,8,2,
2017-08-10,1116,2017-08-06,2017-08-01,5,8,2,
2017-08-11,3156,2017-08-06,2017-08-01,6,8,2,
2017-08-12,426,2017-08-06,2017-08-01,7,8,2,
2017-08-13,526,2017-08-13,2017-08-01,1,8,2,
2017-08-14,1674,2017-08-13,2017-08-01,2,8,2,
2017-08-15,1985,2017-08-13,2017-08-01,3,8,2,
2017-08-16,1850,2017-08-13,2017-08-01,4,8,2,
2017-08-17,9655,2017-08-13,2017-08-01,5,8,2,
2017-08-18,11172,2017-08-13,2017-08-01,6,8,2,
2017-08-19,5307,2017-08-13,2017-08-01,7,8,2,
2017-08-20,7394,2017-08-20,2017-08-01,1,8,2,
2017-08-21,10801,2017-08-20,2017-08-01,2,8,2,
2017-08-22,4436,2017-08-20,2017-08-01,3,8,2,
2017-08-23,4313,2017-08-20,2017-08-01,4,8,2,
2017-08-24,5929,2017-08-20,2017-08-01,5,8,2,
2017-08-25,935,2017-08-20,2017-08-01,6,8,2,
2017-08-26,1662,2017-08-20,2017-08-01,7,8,2,
2017-08-27,1747,2017-08-27,2017-08-01,1,8,2,
2017-08-28,3056,2017-08-27,2017-08-01,2,8,2,
2017-08-29,4643,2017-08-27,2017-08-01,3,8,2,
2017-08-30,2824,2017-08-27,2017-08-01,4,8,2,
2017-08-31,2471,2017-08-27,2017-08-01,5,8,2,
2017-09-01,355,2017-08-27,2017-09-01,6,9,2,
2017-09-02,2294,2017-08-27,2017-09-01,7,9,2,
2017-09-03,7699,2017-09-03,2017-09-01,1,9,2,
2017-09-04,3049,2017-09-03,2017-09-01,2,9,2,
2017-09-05,4732,2017-09-03,2017-09-01,3,9,2,
2017-09-06,2739,2017-09-03,2017-09-01,4,9,2,
2017-09-07,6305,2017-09-03,2017-09-01,5,9,2,
2017-09-08,1020,2017-09-03,2017-09-01,6,9,2,
2017-09-09,7320,2017-09-03,2017-09-01,7,9,2,
2017-09-10,993,2017-09-10,2017-09-01,1,9,2,
2017-09-11,5750,2017-09-10,2017-09-01,2,9,2,
2017-09-12,6560,2017-09-10,2017-09-01,3,9,2,
2017-09-13,3764,2017-09-10,2017-09-01,4,9,2,
2017-09-14,6219,2017-09-10,2017-09-01,5,9,2,
2017-09-15,2611,2017-09-10,2017-09-01,6,9,2,
2017-09-16,2214,2017-09-10,2017-09-01,7,9,2,
2017-09-17,3118,2017-09-17,2017-09-01,1,9,2,
2017-09-18,5827,2017-09-17,2017-09-01,2,9,2,
2017-09-19,5489,2017-09-17,2017-09-01,3,9,2,
2017-09-20,8126,2017-09-17,2017-09-01,4,9,2,
2017-09-21,6716,2017-09-17,2017-09-01,5,9,2,
2017-09-22,6432,2017-09-17,2017-09-01,6,9,2,
2017-09-23,1820,2017-09-17,2017-09-01,7,9,2,
2017-09-24,2462,2017-09-24,2017-09-01,1,9,2,
2017-09-25,1254,2017-09-24,2017-09-01,2,9,2,
2017-09-26,7110,2017-09-24,2017-09-01,3,9,2,
2017-09-27,6418,2017-09-24,2017-09-01,4,9,2,
2017-09-28,6604,2017-09-24,2017-09-01,5,9,2,
2017-09-29,5702,2017-09-24,2017-09-01,6,9,2,
2017-09-30,1049,2017-09-24,2017-09-01,7,9,2,
2017-10-01,4199,2017-10-01,2017-10-01,1,10,2,
2017-10-02,2676,2017-10-01,2017-10-01,2,10,2,
2017-10-03,5910,2017-10-01,2017-10-01,3,10,2,
2017-10-04,4942,2017-10-01,2017-10-01,4,10,2,
2017-10-05,6275,2017-10-01,2017-10-01,5,10,2,
2017-10-06,4786,2017-10-01,2017-10-01,6,10,2,
2017-10-07,5877,2017-10-01,2017-10-01,7,10,2,
2017-10-08,5697,2017-10-08,2017-10-01,1,10,2,
2017-10-09,4662,2017-10-08,2017-10-01,2,10,2,
2017-10-10,2406,2017-10-08,2017-10-01,3,10,2,
2017-10-11,2875,2017-10-08,2017-10-01,4,10,2,
2017-10-12,1937,2017-10-08,2017-10-01,5,10,2,
2017-10-13,1918,2017-10-08,2017-10-01,6,10,2,
2017-10-14,1915,2017-10-08,2017-10-01,7,10,2,
2017-10-15,4419,2017-10-15,2017-10-01,1,10,2,
2017-10-16,1886,2017-10-15,2017-10-01,2,10,2,
2017-10-17,4702,2017-10-15,2017-10-01,3,10,2,
2017-10-18,4343,2017-10-15,2017-10-01,4,10,2,
2017-10-19,9563,2017-10-15,2017-10-01,5,10,2,
2017-10-20,7416,2017-10-15,2017-10-01,6,10,2,
2017-10-21,4122,2017-10-15,2017-10-01,7,10,2,
2017-10-22,1189,2017-10-22,2017-10-01,1,10,2,
2017-10-23,2798,2017-10-22,2017-10-01,2,10,2,
2017-10-24,5416,2017-10-22,2017-10-01,3,10,2,
2017-10-25,2123,2017-10-22,2017-10-01,4,10,2,
2017-10-26,7199,2017-10-22,2017-10-01,5,10,2,
2017-10-27,1554,2017-10-22,2017-10-01,6,10,2,
2017-10-28,6783,2017-10-22,2017-10-01,7,10,2,
2017-10-29,2639,2017-10-29,2017-10-01,1,10,2,
2017-10-30,3286,2017-10-29,2017-10-01,2,10,2,
2017-10-31,3114,2017-10-29,2017-10-01,3,10,2,
2017-11-01,6964,2017-10-29,2017-11-01,4,11,2,
2017-11-02,7432,2017-10-29,2017-11-01,5,11,2,
2017-11-03,3176,2017-10-29,2017-11-01,6,11,2,
2017-11-04,4635,2017-10-29,2017-11-01,7,11,2,
2017-11-05,2004,2017-11-05,2017-11-01,1,11,2,
2017-11-06,7157,2017-11-05,2017-11-01,2,11,2,
2017-11-07,8973,2017-11-05,2017-11-01,3,11,2,
2017-11-08,5153,2017-11-05,2017-11-01,4,11,2,
2017-11-09,12148,2017-11-05,2017-11-01,5,11,2,Walk in the Park
2017-11-10,6958,2017-11-05,2017-11-01,6,11,2,
2017-11-11,1737,2017-11-05,2017-11-01,7,11,2,
2017-11-12,967,2017-11-12,2017-11-01,1,11,2,
2017-11-13,5001,2017-11-12,2017-11-01,2,11,2,
2017-11-14,4211,2017-11-12,2017-11-01,3,11,2,
2017-11-15,4535,2017-11-12,2017-11-01,4,11,2,
2017-11-16,7158,2017-11-12,2017-11-01,5,11,2,
2017-11-17,3286,2017-11-12,2017-11-01,6,11,2,
2017-11-18,7420,2017-11-12,2017-11-01,7,11,2,
2017-11-19,2972,2017-11-19,2017-11-01,1,11,2,
2017-11-20,3652,2017-11-19,2017-11-01,2,11,2,
2017-11-21,7585,2017-11-19,2017-11-01,3,11,2,
2017-11-22,2172,2017-11-19,2017-11-01,4,11,2,
2017-11-23,992,2017-11-19,2017-11-01,5,11,2,
2017-11-24,1560,2017-11-19,2017-11-01,6,11,2,
2017-11-25,4756,2017-11-19,2017-11-01,7,11,2,
